"ANOENC"	"NUMERO"	"CLAVE"	"CLATEO"	"CCAA"	"NUTS1"	"CAPROV"	"TAMAMU"	"DENSIDAD"	"FACTOR"	"NMIEMB"	"TAMANO"	"NMIEMSD"	"NMIEMHU"	"NMIEMIN"	"NMIEM1"	"NMIEM2"	"NMIEM3"	"NMIEM4"	"NMIEM5"	"NMIEM6"	"NMIEM7"	"NMIEM8"	"NMIEM9"	"NMIEM10"	"NMIEM11"	"NMIEM12"	"NMIEM13"	"NUMACTI"	"NUMINACTI"	"NUMOCUP"	"NUMNOCUP"	"NUMESTU"	"NUMNOESTU"	"NNINOSD"	"NHIJOSD"	"UC1"	"UC2"	"PF2TEO"	"PF2RECO"	"TIPHOGAR1"	"TIPHOGAR2"	"TIPHOGAR3"	"TIPHOGAR4"	"TIPHOGAR5"	"TIPHOGAR6"	"TIPHOGAR7"	"TIPHOGAR8"	"TIPHOGAR9"	"TIPHOGAR10"	"TIPHOGAR11"	"NORDENSP"	"EDADSP"	"SEXOSP"	"PAISNACSP"	"NACIONASP"	"PAISSP"	"SITURESSP"	"UNIONSP"	"ESTADOCIVILSP"	"NORDENCOSP"	"NORDENP1SP"	"NORDENP2SP"	"PAISPADRESP"	"PAISMADRESP"	"ESTUDIOSSP"	"ESTUDREDSP"	"SITUACTSP"	"SITUREDSP"	"JORNADASP"	"OCUSP"	"PERCEPSP"	"IMPEXACPSP"	"INTERINPSP"	"TRABAJO"	"OCUPA"	"OCUPARED"	"ACTESTB"	"ACTESTBRED"	"SITPROF"	"SECTOR"	"CONTRATO"	"TIPOCONT"	"SITSOCI"	"SITSOCIRE"	"REGTEN"	"TIPOEDIF"	"ZONARES"	"TIPOCASA"	"NHABIT"	"ANNOCON"	"SUPERF"	"AGUACALI"	"FUENAGUA"	"CALEF"	"FUENCALE"	"VALOREST"	"CAPITPDTE"	"CAPITMENS"	"INTERESMENS"	"DISPOSIOV"	"NUMOVD"	"GASTOT"	"IMPUTGAS"	"GASTMON"	"GASTNOM1"	"GASTNOM2"	"GASTNOM3"	"GASTNOM4"	"GASTOTGR01"	"GASTOTGR02"	"GASTOTGR03"	"GASTOTGR04"	"GASTOTGR05"	"GASTOTGR06"	"GASTOTGR07"	"GASTOTGR08"	"GASTOTGR09"	"GASTOTGR10"	"GASTOTGR11"	"GASTOTGR12"	"GASTOTGR13"	"CAPROP"	"CAJENA"	"PENSIOJUB"	"PENSIOINCAP"	"PENSIOTR"	"DESEM"	"OTRSUB"	"RENTAS"	"OTROIN"	"FUENPRIN"	"FUENPRINRED"	"IMPEXAC"	"INTERIN"	"NUMPERI"
2024	06896	2	2	12	1	6	4	2	870.851876	5	5	0	0	0	3	2	2	3	2	3	0	2	0	0	2	1	0	2	3	2	3	0	5	2	2	3.4	2.6	2	0	11						06	04				01	44	1	1	1		1		2	02	03	99	1	1	4	3	1	1	1	1	1	-9	-9	1	7	4	C	2	1	6	1	1	01	1	1	1	2	1	5	1	160	1	1	1	5	-9				6		37585375.09	13.03	27776434.2	0	0	0	9808940.89	4311918.92	157518.57	1453700.57	11973197.56	1152881.29	760536.03	1768793.52	1284025.58	1944930.3	6095963.13	3413702.26	2899354.09	368853.27	1	1	1	6	6	6	6	6	6	2	2		05	3
2024	06897	1	1	17	2	1	1	1	201.693584	2	2	0	0	0	2	0	0	2	0	2	0	0	1	0	1	0	0	2	0	2	0	0	2	0	0	1.7	1.5	1	1	10						07	04				01	55	6	4	2	3	1		1	99	99	99	4	4	4	3	1	1	1	1	1	-9	03	1	9	5	T	3	1	6	1	1	01	1	3	3	2	2	4	6	60	1	2	1	2					6		5078850.99	0	5078850.99	0	0	0	0	865154.36	0	196315.09	1236789.09	213838.47	69382.59	678517.8	138337.6	69785.98	0	809663.48	313180.38	487886.14	6	1	6	6	6	6	6	6	6	2	2		06	2
2024	06898	1	1	01	6	1	1	1	5371.284696	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	1	0	0	1	0	0	1	1	0	0	02						01	02				01	49	6	2	2	1	1		4	99	99	99		2	4	3	1	1	1	1	1	-9	03	1	9	5	N	3	2				05	3	2	3	2	2	5	6	65	1	3	6		90000	-9	-0.09	-0.09	6		109244290.5	0	76748465.38	0	0	0	32495825.12	25995033.2	5393160.41	2792957.98	37475006.04	0	4726730.53	20074541.54	4834156.23	0	0	1378252.11	6574452.47	0	1	6	6	6	6	6	6	6	6	1	1		03	1
2024	06899	1	1	03	1	6	1	1	413.263566	3	3	0	0	0	3	0	0	3	1	2	0	0	1	0	2	0	0	2	1	2	1	1	2	1	1	2.4	2	2	2	11						04	04				01	48	1	1	1		1		2	02	99	99	1	1	5	4	1	1	1	1	1	-9	05	1	7	4	F	2	2				05	3	1	4	2	2	4	6	100	1	2	1	2	120000				6		18525641.11	3.55	16220341.12	0	0	0	2305299.99	3065078.87	43416.59	105029.31	3118691.55	225954.03	79179.6	3024774.29	446678.38	134285.25	260356.05	5785805.34	527324.31	1709067.55	1	1	6	6	6	6	6	6	6	2	2		07	2
2024	06900	1	1	08	4	1	2	1	651.988087	2	2	0	0	0	2	0	0	2	0	2	0	0	0	2	0	0	0	2	0	2	0	0	2	0	0	1.7	1.5	1	1	12						08	04				02	28	1	4	3	3	1		1	99	99	99	4	4	7	4	1	1	1	1	1	-9	04	1	1	1	A	1	1	1	1	1	04	2	3	4	2	2	4	1	80	1	1	1	2					6		19312716.97	0	19312716.97	0	0	0	0	4186756.83	0	425324.25	4746760.15	53275.75	923649.79	5312184.88	305052.19	1172065.22	0	1468155.02	381439.11	338053.78	1	6	6	6	6	6	6	6	6	1	1		06	2
2024	06901	1	2	09	5	6	5	2	2460.650783	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	01						02	01				01	72	1	1	1		1		3	99	99	99	1	1	3	2	3	2		2	1	3000	-9	1	1	1	G	3	3				08	5	1	3	1	2	5	6	98	1	2	1	2	250000				6		93241045	5.47	68878262.56	0	0	0	24362782.44	9115408.25	1954576.32	359255.01	29249634.89	3811655.42	5101971.2	34780395.05	1919307.61	1836271.82	0	2058893.6	2634544.97	419130.85	6	6	1	6	1	6	6	1	6	8	1	3000	07	1
2024	06902	1	1	01	6	1	1	1	1499.201409	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	1	0	0	1	0	0	1	0	1	0	0	1	1	0	0	02						01	02				01	44	1	1	1		1		-9	99	99	99	1	2	7	4	2	1		2	1	1090	-9	1	2	2	Q	3	1	6	1	1	07	4	2	2	2	2	2	6	60	1	3	6		140000	40000	165	167	6		30318942.34	0	19794822.71	0	0	0	10524119.63	5320424.78	0	0	11259747.78	1086284.99	0	7413550.97	664146.22	644656.61	2473682.32	0	911514.46	544934.22	6	6	6	6	6	1	6	1	6	6	3	1090	03	1
2024	06903	2	2	12	1	6	4	2	459.736901	2	2	0	0	0	2	0	0	2	0	2	0	0	0	0	2	0	0	2	0	1	1	0	2	0	0	1.7	1.5	1	1	06						03	02				01	61	1	1	1		1		2	02	99	99	1	1	3	2	2	1		2	1	-9	03	1	5	3	I	3	1	6	1	2	07	4	1	3	2	2	4	6	70	1	1	1	1	-9				1	1	19395671.95	0.78	14968080.31	0	0	0	4427591.64	4357591.59	644714.29	383050.54	6401242.16	604339.26	827540.59	2293097.17	496515.85	966502.82	0	1325198.91	870948.57	224930.19	6	1	6	6	6	1	6	6	6	6	3		05	2
2024	06904	1	1	13	3	1	1	1	967.482801	2	2	0	0	0	1	1	1	1	1	1	0	1	0	0	1	0	0	1	1	1	1	0	2	1	1	1.5	1.3	0	0	04						07	03				01	44	6	1	1		1		1	99	99	99	1	1	8	4	1	1	1	1	1	5000	-9	1	2	2	Q	3	1	1	1	1	04	2	2	4	2	2	5	6	70	1	6	1	6	200000	120000	-0.09	-0.09	6		38385993.35	0	29559404.89	0	0	0	8826588.46	4144198.81	0	5163390.03	10568057.51	1629318.43	4208609.98	3292752.06	580489.68	321688.03	0	7135625.35	944263.21	397600.25	6	1	6	6	6	6	6	6	6	2	2	5000	08	1
2024	06905	2	2	13	3	1	1	1	1786.633241	1	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	1	0	0	1	0	1	0	1	0	0	1	1	0	0	01						02	01				01	80	6	1	1		1		3	99	99	99	1	1	2	1	3	2		2	1	2100	-9	1	4	3	J	3	1	6	1	1	08	5	1	4	2	2	4	6	80	1	2	1	2	220000				6		35884530.88	0	18541907.04	0	0	0	17342623.84	11361428.04	0	0	21566224.82	0	107197.99	0	857583.96	0	0	0	1339974.93	652121.13	6	6	1	6	1	6	6	6	6	3	3	2100	05	1
